,date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
1,1/19/2020,US,0,0,NA,NA,1,0,NA,NA
2,1/20/2020,US,0,0,NA,NA,1,0,NA,NA
3,1/21/2020,US,0,0,NA,NA,1,0,NA,NA
4,1/22/2020,US,4,0,NA,NA,4,0,NA,NA
5,1/23/2020,US,2,0,NA,NA,6,0,NA,NA
6,1/24/2020,US,1,0,NA,NA,7,0,NA,NA
7,1/25/2020,US,0,0,NA,NA,7,0,NA,NA
8,1/26/2020,US,1,0,NA,NA,8,0,NA,NA
9,1/27/2020,US,0,0,NA,NA,8,0,NA,NA
10,1/28/2020,US,0,0,NA,NA,8,0,NA,NA
11,1/29/2020,US,0,0,NA,NA,8,0,NA,NA
12,1/30/2020,US,0,0,NA,NA,8,0,NA,NA
13,1/31/2020,US,1,0,NA,NA,9,0,NA,NA
14,2/1/2020,US,1,0,NA,NA,10,0,NA,NA
15,2/2/2020,US,3,0,NA,NA,13,0,NA,NA
16,2/3/2020,US,4,0,NA,NA,17,0,NA,NA
17,2/4/2020,US,2,0,NA,NA,19,0,NA,NA
18,2/5/2020,US,0,0,NA,NA,19,0,NA,NA
19,2/6/2020,US,0,0,NA,NA,19,0,NA,NA
20,2/7/2020,US,1,0,NA,NA,20,0,NA,NA
21,2/8/2020,US,0,0,NA,NA,20,0,NA,NA
22,2/9/2020,US,0,0,NA,NA,20,0,NA,NA
23,2/10/2020,US,0,0,NA,NA,20,0,NA,NA
24,2/11/2020,US,0,0,NA,NA,20,0,NA,NA
25,2/12/2020,US,2,0,NA,NA,22,0,NA,NA
26,2/13/2020,US,1,0,NA,NA,23,0,NA,NA
27,2/14/2020,US,1,0,NA,NA,24,0,NA,NA
28,2/15/2020,US,0,0,NA,NA,24,0,NA,NA
29,2/16/2020,US,0,0,NA,NA,24,0,NA,NA
30,2/17/2020,US,2,0,NA,NA,26,0,NA,NA
31,2/18/2020,US,5,0,NA,NA,31,0,NA,NA
32,2/19/2020,US,3,0,NA,NA,34,0,NA,NA
33,2/20/2020,US,1,0,NA,NA,35,0,NA,NA
34,2/21/2020,US,5,0,NA,NA,40,0,NA,NA
35,2/22/2020,US,8,0,NA,NA,48,0,NA,NA
36,2/23/2020,US,0,0,NA,NA,48,0,NA,NA
37,2/24/2020,US,4,0,NA,NA,52,0,NA,NA
38,2/25/2020,US,4,0,NA,NA,56,0,NA,NA
39,2/26/2020,US,8,0,NA,NA,64,0,NA,NA
40,2/27/2020,US,5,1,NA,NA,69,1,NA,NA
41,2/28/2020,US,4,0,NA,NA,73,1,NA,NA
42,2/29/2020,US,9,1,NA,348,82,2,NA,348
43,3/1/2020,US,18,0,NA,515,100,2,NA,863
44,3/2/2020,US,34,6,NA,617,134,8,NA,1480
45,3/3/2020,US,51,3,NA,889,185,11,NA,2369
46,3/4/2020,US,70,1,NA,1203,255,12,NA,3572
47,3/5/2020,US,77,3,NA,1523,332,15,NA,5095
48,3/6/2020,US,125,3,NA,1772,457,18,NA,6867
49,3/7/2020,US,143,5,NA,1638,600,23,NA,8505
50,3/8/2020,US,206,4,NA,2397,806,27,NA,10902
51,3/9/2020,US,384,4,NA,3480,1190,31,NA,14382
52,3/10/2020,US,476,7,NA,4832,1666,38,NA,19214
53,3/11/2020,US,472,12,NA,8891,2138,50,NA,28105
54,3/12/2020,US,665,7,NA,11728,2803,57,NA,39833
55,3/13/2020,US,799,10,NA,13047,3602,67,NA,52880
56,3/14/2020,US,864,12,NA,14442,4466,79,NA,67322
57,3/15/2020,US,1542,19,NA,27328,6008,98,NA,94650
58,3/16/2020,US,1723,17,NA,39849,7731,115,NA,134499
59,3/17/2020,US,2179,22,NA,50396,9910,137,NA,184895
60,3/18/2020,US,2769,55,NA,60667,12679,192,NA,245562
61,3/19/2020,US,3656,58,NA,76323,16335,250,NA,321885
62,3/20/2020,US,4568,68,NA,75805,20903,318,NA,397690
63,3/21/2020,US,5437,85,NA,73938,26340,403,NA,471628
64,3/22/2020,US,6844,73,NA,79863,33184,476,NA,551491
65,3/23/2020,US,8047,111,NA,104605,41231,587,NA,656096
66,3/24/2020,US,8813,160,NA,114711,50044,747,NA,770807
67,3/25/2020,US,10507,207,NA,129285,60551,954,NA,900092
68,3/26/2020,US,14048,229,NA,135850,74599,1183,NA,1035942
69,3/27/2020,US,15319,344,NA,121756,89918,1527,NA,1157698
70,3/28/2020,US,15734,331,NA,110263,105652,1858,NA,1267961
71,3/29/2020,US,21188,412,NA,123493,126840,2270,NA,1391454
72,3/30/2020,US,11761,302,NA,142286,138601,2572,NA,1533740
73,3/31/2020,US,20131,635,NA,153137,158732,3207,NA,1686877
74,4/1/2020,US,22232,712,NA,161795,180964,3919,NA,1848672
75,4/2/2020,US,24432,841,NA,169304,205396,4760,NA,2017976
76,4/3/2020,US,26234,826,NA,147758,231630,5586,NA,2165734
77,4/4/2020,US,26640,882,NA,138656,258270,6468,NA,2304390
